id,name,name_en,external_uri,parent
ORG-000004,"Město Hořice - Městské muzeum a galerie","Municipal Museum and Gallery of Hořice","",
ORG-000148,"Městské muzeum Horšovský Týn [zaniklé]","Municipal museum of Horšovský Týn [defunct]","",
ORG-000131,"Městské kulturní středisko Holešov, příspěvková organizace - Městské muzeum a galerie","Municipal Museum and Gallery of Holešov","",
ORG-000092,"Město Duchcov - Muzeum města Duchcova","Museum of the Town of Duchcov","",
ORG-000167,"Město Bystřice nad Pernštejnem - Městské muzeum","Municipal Museum of Bystřice nad Perštejnem","",
ORG-000151,"Regionální muzeum Mělník, příspěvková organizace","Regional Museum in Mělník","",
ORG-000162,"Městské muzeum a galerie Mariánské Lázně, příspěvková organizace","Municipal Museum and Gallery of Mariánské Lázně","",
ORG-000149,"Oblastní muzeum v Lounech, příspěvková organizace","Regional Museum in Louny","",
ORG-000155,"Regionální muzeum v Litomyšli","Regional Museum in Litomyšl","",
ORG-000009,"Oblastní muzeum v Litoměřicích, příspěvková organizace","Regional Museum in Litoměřice","https://ror.org/00ef2rd26",
ORG-000147,"Severočeské muzeum v Liberci, příspěvková organizace","North Bohemian Museum in Liberec","https://ror.org/009ps8477",
ORG-000146,"Masarykovo muzeum v Hodoníně, příspěvková organizace - Vlastivědné muzeum Kyjov","Local History Museum of Kyjov","",ORG-000130
ORG-000165,"České muzeum stříbra, příspěvková organizace","Czech Museum of Silver","",
ORG-000144,"Muzeum Kroměřížska, příspěvková organizace","Museum of Kroměřížsko","",
ORG-000161,"Městské muzeum v Kralupech nad Vltavou","Municipal Museum in Kralupy nad Vltavou","",
ORG-000142,"Regionální muzeum v Kolíně, příspěvková organizace","Regional Museum in Kolín","https://ror.org/05qtdkf53",
ORG-000160,"Sládečkovo vlastivědné muzeum v Kladně, příspěvková organizace","Sládeček Museum of Local History in Kladno","",
ORG-000139,"Muzeum Karlovy Vary, příspěvková organizace Karlovarského kraje","Museum of Karlovy Vary","https://ror.org/039dcrv13",
ORG-000138,"Muzeum Jindřichohradecka","Museum of Jindřichohradecko","",
ORG-000159,"Regionální muzeum v Jílovém u Prahy, příspěvková organizace","Regional Museum in Jílové u Prahy","",
ORG-000128,"Galerie a muzeum Vysočiny Havlíčkův Brod","Gallery and Museum of Vysočina in Havlíčkův Brod","",
